Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
2024-11-22,10:30p,Sacramento Kings,88,Los Angeles Clippers,104,Box Score,,16228,,Intuit Dome,NBA Cup
2024-11-22,10:00p,Dallas Mavericks,123,Denver Nuggets,120,Box Score,,19923,2:29,Ball Arena,NBA Cup
2024-11-22,8:00p,Atlanta Hawks,122,Chicago Bulls,136,Box Score,,19979,2:08,United Center,NBA Cup
2024-11-22,8:00p,Portland Trail Blazers,88,Houston Rockets,116,Box Score,,15546,2:10,Toyota Center,NBA Cup
2024-11-22,7:00p,Boston Celtics,108,Washington Wizards,96,Box Score,,20385,2:24,Capital One Arena,NBA Cup
2024-11-22,7:00p,Brooklyn Nets,98,Philadelphia 76ers,113,Box Score,,19817,2:06,Wells Fargo Center,NBA Cup
2024-11-22,7:30p,Golden State Warriors,112,New Orleans Pelicans,108,Box Score,,16820,2:28,Smoothie King Center,NBA Cup
2024-11-23,8:00p,Charlotte Hornets,119,Milwaukee Bucks,125,Box Score,,17341,2:21,Fiserv Forum,No notes
2024-11-23,5:00p,New York Knicks,106,Utah Jazz,121,Box Score,,18175,2:07,Delta Center,No notes
2024-11-23,7:00p,Detroit Pistons,100,Orlando Magic,111,Box Score,,19094,2:13,Kia Center,No notes
2024-11-23,8:00p,Memphis Grizzlies,142,Chicago Bulls,131,Box Score,,19449,2:07,United Center,No notes
2024-11-23,8:00p,Portland Trail Blazers,104,Houston Rockets,98,Box Score,,16102,2:28,Toyota Center,No notes
2024-11-23,8:30p,Golden State Warriors,94,San Antonio Spurs,104,Box Score,,18847,2:10,Frost Bank Center,No notes
2024-11-23,10:30p,Denver Nuggets,127,Los Angeles Lakers,102,Box Score,,18997,2:05,Crypto.com Arena,No notes
2024-11-24,6:00p,Los Angeles Clippers,125,Philadelphia 76ers,99,Box Score,,19780,2:13,Wells Fargo Center,No notes
2024-11-24,6:00p,Dallas Mavericks,118,Miami Heat,123,Box Score,OT,19714,2:30,Kaseya Center,No notes
2024-11-24,7:30p,Toronto Raptors,108,Cleveland Cavaliers,122,Box Score,,19432,2:17,Rocket Mortgage Fieldhouse,No notes
2024-11-24,3:30p,Minnesota Timberwolves,105,Boston Celtics,107,Box Score,,19156,2:03,TD Garden,No notes
2024-11-24,5:00p,Washington Wizards,103,Indiana Pacers,115,Box Score,,17274,2:11,Gainbridge Fieldhouse,No notes
2024-11-24,9:00p,Brooklyn Nets,108,Sacramento Kings,103,Box Score,,16750,2:24,Golden 1 Center,No notes
2024-11-25,7:00p,Orlando Magic,95,Charlotte Hornets,84,Box Score,,14898,2:20,Spectrum Center,No notes
2024-11-25,7:30p,Los Angeles Clippers,94,Boston Celtics,126,Box Score,,19156,1:58,TD Garden,No notes
2024-11-25,7:00p,Toronto Raptors,100,Detroit Pistons,102,Box Score,,18421,2:24,Little Caesars Arena,No notes
2024-11-25,7:00p,New Orleans Pelicans,110,Indiana Pacers,114,Box Score,,16059,2:10,Gainbridge Fieldhouse,No notes
2024-11-25,7:30p,Dallas Mavericks,129,Atlanta Hawks,119,Box Score,,17186,2:07,State Farm Arena,No notes
2024-11-25,9:00p,New York Knicks,145,Denver Nuggets,118,Box Score,,19842,,Ball Arena,No notes
2024-11-25,10:00p,Brooklyn Nets,128,Golden State Warriors,120,Box Score,,18064,2:22,Chase Center,No notes
2024-11-25,10:00p,Oklahoma City Thunder,130,Sacramento Kings,109,Box Score,,17832,2:11,Golden 1 Center,No notes
2024-11-25,8:00p,Portland Trail Blazers,98,Memphis Grizzlies,123,Box Score,,15796,2:16,FedEx Forum,No notes
2024-11-26,7:00p,Chicago Bulls,127,Washington Wizards,108,Box Score,,15921,2:13,Capital One Arena,NBA Cup
2024-11-26,7:30p,Milwaukee Bucks,106,Miami Heat,103,Box Score,,19622,2:21,Kaseya Center,NBA Cup
2024-11-26,8:00p,Houston Rockets,117,Minnesota Timberwolves,111,Box Score,OT,18978,2:18,Target Center,NBA Cup
2024-11-26,9:00p,San Antonio Spurs,128,Utah Jazz,115,Box Score,,18175,2:19,Delta Center,NBA Cup
2024-11-26,10:00p,Los Angeles Lakers,100,Phoenix Suns,127,Box Score,,17071,2:18,Footprint Center,NBA Cup
2024-11-27,8:00p,Toronto Raptors,119,New Orleans Pelicans,93,Box Score,,17307,2:00,Smoothie King Center,No notes
2024-11-27,10:00p,Oklahoma City Thunder,105,Golden State Warriors,101,Box Score,,18064,2:24,Chase Center,No notes
2024-11-27,9:00p,Denver Nuggets,122,Utah Jazz,103,Box Score,,18175,2:05,Delta Center,No notes
2024-11-27,9:00p,Brooklyn Nets,127,Phoenix Suns,117,Box Score,,17071,2:23,Footprint Center,No notes
2024-11-27,8:30p,Los Angeles Lakers,119,San Antonio Spurs,101,Box Score,,19120,2:05,Frost Bank Center,No notes
2024-11-27,8:00p,Sacramento Kings,115,Minnesota Timberwolves,104,Box Score,,18978,2:17,Target Center,No notes
2024-11-27,8:00p,Detroit Pistons,111,Memphis Grizzlies,131,Box Score,,16261,2:11,FedEx Forum,No notes
2024-11-27,7:00p,Los Angeles Clippers,121,Washington Wizards,96,Box Score,,15066,2:12,Capital One Arena,No notes
2024-11-27,7:00p,Houston Rockets,122,Philadelphia 76ers,115,Box Score,OT,19765,2:40,Wells Fargo Center,No notes
2024-11-27,7:00p,Chicago Bulls,119,Orlando Magic,133,Box Score,,18309,2:12,Kia Center,No notes
2024-11-27,7:00p,Portland Trail Blazers,114,Indiana Pacers,121,Box Score,,17274,2:15,Gainbridge Fieldhouse,No notes
2024-11-27,7:00p,Atlanta Hawks,135,Cleveland Cavaliers,124,Box Score,,19432,2:18,Rocket Mortgage Fieldhouse,No notes
2024-11-27,7:00p,Miami Heat,98,Charlotte Hornets,94,Box Score,,17710,2:14,Spectrum Center,No notes
2024-11-27,7:30p,New York Knicks,114,Dallas Mavericks,129,Box Score,,20413,2:17,American Airlines Center,No notes
2024-11-29,10:00p,Sacramento Kings,106,Portland Trail Blazers,115,Box Score,,17565,2:12,Moda Center,NBA Cup
2024-11-29,10:00p,Oklahoma City Thunder,101,Los Angeles Lakers,93,Box Score,,18997,2:16,Crypto.com Arena,NBA Cup
2024-11-29,8:00p,Toronto Raptors,111,Miami Heat,121,Box Score,,19607,2:13,Kaseya Center,NBA Cup
2024-11-29,8:00p,Detroit Pistons,130,Indiana Pacers,106,Box Score,,17274,2:11,Gainbridge Fieldhouse,NBA Cup
2024-11-29,8:00p,Boston Celtics,138,Chicago Bulls,129,Box Score,,19798,2:08,United Center,NBA Cup
2024-11-29,2:30p,Cleveland Cavaliers,101,Atlanta Hawks,117,Box Score,,17881,2:12,State Farm Arena,NBA Cup
2024-11-29,7:30p,Orlando Magic,123,Brooklyn Nets,100,Box Score,,18143,2:13,Barclays Center,NBA Cup
2024-11-29,5:00p,New Orleans Pelicans,109,Memphis Grizzlies,120,Box Score,,17014,2:09,FedEx Forum,NBA Cup
2024-11-29,12:00p,New York Knicks,99,Charlotte Hornets,98,Box Score,,19313,2:17,Spectrum Center,NBA Cup
2024-11-29,7:30p,Los Angeles Clippers,92,Minnesota Timberwolves,93,Box Score,,18978,2:10,Target Center,NBA Cup
2024-11-30,8:00p,Washington Wizards,114,Milwaukee Bucks,124,Box Score,,17341,2:20,Fiserv Forum,No notes
2024-11-30,6:00p,Atlanta Hawks,107,Charlotte Hornets,104,Box Score,,17969,2:20,Spectrum Center,No notes
2024-11-30,9:30p,Dallas Mavericks,106,Utah Jazz,94,Box Score,,18175,2:04,Delta Center,No notes
2024-11-30,9:00p,Golden State Warriors,105,Phoenix Suns,113,Box Score,,17071,2:11,Footprint Center,No notes
2024-11-30,7:00p,Philadelphia 76ers,111,Detroit Pistons,96,Box Score,,22062,2:12,Little Caesars Arena,No notes
