Date,Start (ET),Visitor/Neutral,PTS_Visitor,Home/Neutral,PTS_Home,Attend.,Arena
Tue Oct 29 2024,9:00p,Sacramento Kings,113,Utah Jazz,96,18175,Delta Center
Tue Oct 29 2024,10:00p,New Orleans Pelicans,106,Golden State Warriors,124,18064,Chase Center
Wed Oct 30 2024,7:00p,Detroit Pistons,105,Philadelphia 76ers,95,19759,Wells Fargo Center
Wed Oct 30 2024,7:00p,Atlanta Hawks,120,Washington Wizards,133,14255,Capital One Arena
Wed Oct 30 2024,7:00p,Boston Celtics,132,Indiana Pacers,135,17274,Gainbridge Fieldhouse
Wed Oct 30 2024,7:00p,Los Angeles Lakers,110,Cleveland Cavaliers,134,19432,Rocket Mortgage Fieldhouse
Wed Oct 30 2024,7:00p,Toronto Raptors,133,Charlotte Hornets,138,13113,Spectrum Center
Wed Oct 30 2024,7:30p,New York Knicks,116,Miami Heat,107,19620,Kaseya Center
Wed Oct 30 2024,8:00p,Orlando Magic,99,Chicago Bulls,102,19015,United Center
Wed Oct 30 2024,8:00p,Brooklyn Nets,119,Memphis Grizzlies,106,14745,FedEx Forum
Wed Oct 30 2024,9:30p,San Antonio Spurs,93,Oklahoma City Thunder,105,17136,Paycom Center
Wed Oct 30 2024,10:00p,New Orleans Pelicans,89,Golden State Warriors,104,18064,Chase Center
Wed Oct 30 2024,10:30p,Portland Trail Blazers,106,Los Angeles Clippers,105,16727,Intuit Dome
Thu Oct 31 2024,8:00p,Milwaukee Bucks,99,Memphis Grizzlies,122,15377,FedEx Forum
Thu Oct 31 2024,8:30p,Houston Rockets,108,Dallas Mavericks,102,20011,American Airlines Center
Thu Oct 31 2024,9:00p,San Antonio Spurs,106,Utah Jazz,88,18175,Delta Center
Thu Oct 31 2024,10:30p,Phoenix Suns,125,Los Angeles Clippers,119,16827,Intuit Dome
